Pregunta Nº,Tema,Pregunta,Respuesta correcta,Respuesta incorrecta 1,Respuesta incorrecta 2,Descripción (mensaje que se obtiene al elegir la respuesta)
14,Democracia,... que los funcionarios ganen lo mismo que una maestra o un obrero especializado?,Myriam Bregman,Javier Milei,Sergio Massa,"En su programa, Bregman propone rechazar los ""dietazos"" de legisladores y jueces y hacer que ganen el salario de una maestra o un obrero especializado.  "
15,Democracia,... reducir la cantidad de ministerios a la mitad?,Patricia Bullrich,Myriam Bregman,Javier Milei,"En su programa, Bullrich propone reducir la cantidad de ministerios a la mitad, conservando solo los indispensables para dar los servicios que la población necesita.
 "
16,Democracia,... despolitizar el sistema judicial impulsando una reforma del Consejo de la Magistratura?,Patricia Bullrich,Juan Schiaretti,Myriam Bregman,"En su programa, Bullrich propone despolitizar el sistema judicial impulsando una reforma del Consejo de la Magistratura, órgano encargado de la selección y remoción de los jueces.
 "
17,Democracia,... fortalecer la institucionalidad republicana?,Juan Schiaretti,Patricia Bullrich,Javier Milei,"En su programa, Schiaretti propone fortalecer la institucionalidad republicana con reglas claras, sencillas y estables para quienes producen, investigan o invierten. "
18,Democracia,... establecer un federalismo estricto?,Juan Schiaretti,Sergio Massa,Patricia Bullrich,"En su programa, Schiaretti propone definir las políticas de transporte, energía, conectividad y logística con criterios de federalismo estrictos."
19,Democracia,... reconstruir el pacto democrático?,Sergio Massa,Myriam Bregman,Javier Milei,"En su programa, Massa propone repensar el Estado y garantizar la división de poderes para reconstruir el pacto democrático."
20,Democracia,... reconstruir el pacto democrático?,Sergio Massa,Myriam Bregman,Javier Milei,"En su programa, Massa propone repensar el Estado y garantizar la división de poderes para reconstruir el pacto democrático."
21,Ambiente,... promover una agricultura con buenas prácticas?,Javier Milei,Myriam Bregman,Juan Schiaretti,"En su programa, Milei propone buenas prácticas para la agricultura que contemplen la sustentabilidad del suelo y la preservación del ambiente. "
22,Ambiente, ... cuidar nuestro patrimonio marítimo?,Javier Milei,Sergio Massa,Myriam Bregman,"En su programa, Milei propone cuidar nuestro patrimonio marítimo de la explotación indiscriminada e ilegal."
23,Ambiente,... eliminar la megaminería? ,Myriam Bregman,Sergio Massa,Juan Schiaretti,"En su programa, Bregman propone rechazar el fracking y la megaminería, anular el acuerdo YPF-Chevron.y expropiar, sin indemnización y con reparación por los daños causados."
24,Ambiente,... prohibir el uso indiscriminado de agrotóxicos?,Myriam Bregman,Sergio Massa,Javier Milei,"En su programa, Bregman propone prohibir las fumigaciones aéreas y el uso indiscriminado de agrotóxicos."
25,Ambiente,... eliminar el plástico de un solo uso? ,Juan Schiaretti,Myriam Bregman,Patricia Bullrich,"En su programa, Schiaretti propone la eliminación de plásticos de un solo uso, de manera inmediata."
26,Ambiente,"... reducir las emisiones de GEI (Gases de Efecto Invernadero)?
",Juan Schiaretti,Sergio Massa,Myriam Bregman,"En su programa, Schiaretti propone aumentar el corte de combustibles tradicionales con bioetanol y con biodiesel para reducir las emisiones."
27,Ambiente,... incrementar la producción de energías renovables y minerales para la transición energética?,Patricia Bullrich,Sergio Massa,Myriam Bregman,"En su programa, Bullrich propone Incrementar la producción de energías renovables y minerales para la transición energética ampliando la infraestructura."
28,Ambiente,... ordenar y ampliar la infraestructura de saneamiento?,Patricia Bullrich,Juan Schiaretti,Sergio Massa,"En su programa, Bullrich propone ordenar y ampliar la infraestructura de saneamiento para solucionar el grave riesgo sanitario para la población que ocasionan basurales a cielo abierto y la falta de cloacas."
29,Ambiente,... una transformación de la industria petroquímica?,Sergio Massa,Juan Schiaretti,Myriam Bregman,"En su programa, Massa propone una transformación de la industria petroquímica."
30,Ambiente,"
... acompañar el desarrollo de la minería sostenible.?",Sergio Massa,Patricia Bullrich,Javier Milei,"En su programa, Massa propone el desarrollo de la minería, como puntal del desarrollo regional y nacional, preservando el cuidado del ambiente."
31,Economía,... eliminar el Banco Central?,Javier Milei,Patricia Bullrich,Myriam Bregman,"En su programa, Milei propone liquidar el Banco Central, liberar los cepos cambiarios y unificar el tipo de cambio."
32,Economía,... privatizar las empresas públicas?,Javier Milei,Sergio Massa,Patricia Bullrich,"En su programa, Milei propone privatizar empresas públicas como Aerolíneas, YPF y AySA, entre otras. "
33,Economía,... romper con el FMI?,Myriam Bregman,Juan Schiaretti,Javier Milei,"En su programa, Bregman propone romper con el FMI, no pagar la deuda y usar esa plata para aumentar salarios y garantizar el acceso a salud, educación y vivienda. "
34,Economía,... eliminar el IVA de la canasta familiar?,Myriam Bregman,Patricia Bullrich,Juan Schiaretti,"En su programa, Bregman propone eliminar el Impuesto al Valor Agregado (IVA, el 21% del precio) a los productos de la canasta básica.  "
35,Economía,... tener una moneda nacional sana y fuerte?,Juan Schiaretti,Patricia Bullrich,Javier Milei,"En su programa, Schiaretti propone generar una moneda nacional sana y fuerte como condición estructural para la estabilidad económica."
36,Economía,... una nueva poítica tributaria para PyMEs?,Juan Schiaretti,Patricia Bullrich,Sergio Massa,"En su programa, Schiaretti propone una nueva política tributaria para las PyMEs con un sistema de créditos a las producción e incentivos para reinvertir las utilidades en bienes de capital."
37,Economía,... establecer un nuevo régimen cambiario y consolidar un bimonetarismo?,Patricia Bullrich,Javier Milei,Juan Schiaretti,"En su programa, Bullrich propone establecer un nuevo régimen cambiario sin cepos, que permita exportar e importar y consolidar un bimonetarismo para que convivan el peso y el dólar."
38,Economía,"... eliminar impuestos, retenciones y liberar cupos de exportación?",Patricia Bullrich,Sergio Massa,Javier Milei,"En su programa, Bullrich propone eliminar impuestos, retenciones y liberar cupos de exportación eliminando todos los impuestos de escasa o nula recaudación que dificultan las exportaciones."
39,Economía,... recuperar el poder adquisitivos de jubilados y trabajadores?,Sergio Massa,Myriam Bregman,Javier Milei,"En su programa, Massa propone recuperar el poder adquisitivo de los salarios y jubilaciones, defendiendo los derechos vigentes y promoviendo nuevos derechos laborales."
40,Economía,... un salto histórico para las exportaciones? ,Sergio Massa,Patricia Bullrich,Juan Schiaretti,"En su programa, Massa propone un salto histórico en el valor de las exportaciones para 2024-2028."
41,Educación,... eliminar la Educación Sexual Integral?,Javier Milei,Patricia Bullrich,Juan Schiaretti,"En su programa, Milei propone eliminar la obligatoriedad de la Educación Sexual Integral (ESI) en todos los niveles de enseñanza

 "
42,Educación,... generar competencia entre las instituciones educativas?,Javier Milei,Patricia Bullrich,Myriam Bregman,"En su programa, Milei propone hacer competir a las escualas, de todos los niveles de educación, para que el mercado las diferencie : en lo curricular, en la orientación y/o en la infraestructura."
43,Educación,"... garantizar el acceso a la educación?
",Myriam Bregman,Sergio Massa,Patricia Bullrich,"En su programa, Bregman propone garantizar el acceso a la educación, usando para este fin la plata hoy destinada al pago de la deuda con el FMI
 
 "
44,Educación,"... garantizar el acceso a la educación?
",Myriam Bregman,Juan Schiaretti,Javier Milei,"En su programa, Bregman propone garantizar el acceso a la educación, usando para este fin la plata hoy destinada al pago de la deuda con el FMI"
45,Educación,... ampliar la jornada extendida en las primarias?,Juan Schiaretti,Patricia Bullrich,Myriam Bregman,"En su programa, Schiaretti propone la ampliación de la jornada extendida, en nivel primario, incluyendo idiomas y robótica en todas las escuelas.

 "
46,Educación,... crear un “cuarto nivel educativo”? ,Juan Schiaretti,Sergio Massa,Javier Milei,"En su programa, Schiaretti propone crear un nuevo nivel educativo, asociado al mundo del trabajo y la formación laboral, destinado a jóvenes y adultos."
47,Educación,... declarar a la educación servicio esencial?,Patricia Bullrich,Javier Milei,Juan Schiaretti,"En su programa, Bullrich propone declarar la educación servicio esencial para evitar paros docentes y tener 190 días de clases. "
48,Educación,... fortalecer el sistema científico?,Patricia Bullrich,Javier Milei,Juan Schiaretti,"En su programa, Bullrich propone fortalecer el sistema científico jerarquizándolo y ordenándolo, con herramientas efectivas de evaluación y financiación, que premien la investigación de calidad. "
49,Educación,"... impulsar una revolución educativa?
",Sergio Massa,Javier Milei,Patricia Bullrich,"En su programa, Massa propone impulsar una revolución educativa."
50,Educación,"... impulsar una revolución educativa?
",Sergio Massa,Juan Schiaretti,Myriam Bregman,"En su programa, Massa propone impulsar una revolución educativa."
51,Seguridad,... construir cárceles de gestión público-privada? ,Javier Milei,Juan Schiaretti,Patricia Bullrich,"En su programa, Milei propone construir establecimientos penitenciarios con gestión público-privada y eliminar los salarios de los reclusos."
52,Seguridad,... disminuir la dificultad del accionar policial?,Javier Milei,Patricia Bullrich,Juan Schiaretti,"En su programa, Milei propone disminuir la dificultad del accionar policial con la modificación de las leyes y la presentación de nuevos proyectos de ley."
53,Seguridad,"... no tiene propuestas específicas para el rubro ""seguridad""?",Myriam Bregman,Javier Milei,Juan Schiaretti,"En su programa, Bregman no incluye propouestas específicas para el rubro ""seguridad""."
54,Seguridad,"... no tiene propuestas específicas para el rubro ""seguridad""?",Myriam Bregman,Javier Milei,Juan Schiaretti,"En su programa, Bregman no incluye propouestas específicas para el rubro ""seguridad""."
55,Seguridad,... el desarme de la ciudadanía?,Juan Schiaretti,Myriam Bregman,Sergio Massa,"En su programa, Schiaretti propone promover el desarme de la ciudadanía y evitar la circulación de armas ilegales."
56,Seguridad,"... reformular el trabajo de inteligencia y análisis del delito?
",Juan Schiaretti,Patricia Bullrich,Javier Milei,"En su programa, Schiaretti propone reformular el trabajo de inteligencia y análisis del delito, incorporando tecnología y mejorando la coordinación entre las fuerzas de seguridad, la justica y agencias del Estado."
57,Seguridad,... garantizar el orden público terminando con los piquetes?,Patricia Bullrich,Javier Milei,Juan Schiaretti,"En su programa, Bullrich propone garantizar el orden público y terminar con los bloqueos, las ocupaciones y los cortes ilegales definiendo un marco legal para la realización ordenada de manifestaciones."
58,Seguridad,... fortalecer los mecanismos de control de fronteras?,Patricia Bullrich,Myriam Bregman,Sergio Massa,"En su programa, Bullrich propone proteger a nuestro país del delito trasnacional con un fuerte uso de tecnología para el control del espacio aéreo y el fortalecimiento del control de vías navegables."
59,Seguridad,"... una política de seguridad pública ciudadana y democrática?
",Sergio Massa,Myriam Bregman,Juan Schiaretti,"En su programa, Massa propone avanzar en la conformación de fuerzas de seguridad que garanticen una política de seguridad ciudadana y democrática."
60,Seguridad,"... regular el ecosistema mediático digital?
",Sergio Massa,Myriam Bregman,Juan Schiaretti,"En su programa, Massa propone debatir la regulación del ecosistema mediático digital.
"
